Drug Regimen,Timepoint,Tumor Volume (mm3),Metastatic Sites,Age_months,Weight (g)
Ramicane,45.0,34.955594792,1.25,10.05,19.3
Capomulin,45.0,36.236113800000005,1.4761904761904763,12.80952380952381,19.857142857142858
Ceftamin,45.0,64.13242133615384,2.6923076923076925,13.538461538461538,27.615384615384617
Infubinol,45.0,65.75556227777777,2.111111111111111,18.555555555555557,26.666666666666668
Zoniferol,45.0,65.96088788928571,3.0714285714285716,13.071428571428571,27.571428571428573
Propriva,45.0,66.25852868857143,2.5714285714285716,12.142857142857142,27.142857142857142
Placebo,45.0,68.08408221818182,3.272727272727273,11.818181818181818,27.727272727272727
Stelasyn,45.0,68.43831043090908,1.7272727272727273,12.727272727272727,27.545454545454547
Naftisol,45.0,69.26550621153847,2.5384615384615383,12.23076923076923,27.153846153846153
Ketapril,45.0,70.66295760818181,3.3636363636363638,16.272727272727273,27.727272727272727
